59, 1706,  0.200,  0.000, -206.791,  0.000, -178, -178, -103.395,  2.651,  2.282
60, 1716,  0.200,  0.000, -174.841,  0.000, -181, -181, -87.420,  2.241,  2.320
61, 1726,  0.200,  0.000, -163.700,  0.000, -183, -183, -81.850,  2.098,  2.346
62, 1736,  0.200,  0.000, -140.928,  0.000, -185, -185, -70.464,  1.806,  2.371
63, 1746,  0.200,  0.000, -131.554,  0.000, -187, -187, -65.777,  1.686,  2.397
64, 1756,  0.200,  0.000, -106.841,  0.000, -189, -189, -53.420,  1.369,  2.423
65, 1766,  0.200,  0.000, -101.221,  0.000, -190, -190, -50.610,  1.297,  2.435
66, 1776,  0.200,  0.000, -78.193,  0.000, -191, -191, -39.096,  1.002,  2.448
67, 1786,  0.200,  0.000, -73.161,  0.000, -192, -192, -36.580,  0.937,  2.461
68, 1796,  0.200,  0.000, -47.358,  0.000, -193, -193, -23.679,  0.607,  2.474
69, 1806,  0.200,  0.000, -38.360,  0.000, -193, -193, -19.180,  0.491,  2.474
70, 1816,  0.200,  0.000, -13.375,  0.000, -193, -193, -6.687,  0.171,  2.474
71, 1826,  0.200,  0.000, -4.663,  0.000, -193, -193, -2.331,  0.059,  2.474
72, 1836,  0.200,  0.000, -1.626,  0.000, -193, -193, -0.813,  0.020,  2.474
73, 1846,  0.200,  0.000, -0.567,  0.000, -193, -193, -0.283,  0.007,  2.474
74, 1856,  0.200,  0.000, -0.197,  0.000, -193, -193, -0.098,  0.002,  2.474
75, 1866,  0.200,  0.000, -0.068,  0.000, -193, -193, -0.034,  0.000,  2.474
76, 1876,  0.200,  0.000, -0.024,  0.000, -193, -193, -0.012,  0.000,  2.474
77, 1886,  0.200,  0.000, -0.008,  0.000, -193, -193, -0.004,  0.000,  2.474
78, 1896,  0.200,  0.000, -0.002,  0.000, -193, -193, -0.001,  0.000,  2.474
79, 1906,  0.200,  0.000, -0.001,  0.000, -193, -193, -0.000,  0.000,  2.474
80, 1916,  0.200,  0.000, -0.000,  0.000, -193, -193, -0.000,  0.000,  2.474
81, 1926,  0.200,  0.000, -0.000,  0.000, -193, -193, -0.000,  0.000,  2.474
82, 1936,  0.200,  0.000, -0.000,  0.000, -193, -193, -0.000,  0.000,  2.474
83, 1946,  0.200,  0.000, -0.000,  0.000, -193, -193, -0.000,  0.000,  2.474
84, 1956,  0.200,  0.000, -0.000,  0.000, -193, -193, -0.000,  0.000,  2.474
85, 1966,  0.200,  0.000, -0.000,  0.000, -193, -193, -0.000,  0.000,  2.474
86, 1976,  0.200,  0.000, -0.000,  0.000, -193, -193, -0.000,  0.000,  2.474
87, 1986,  0.200,  0.000, -0.000,  0.000, -193, -193, -0.000,  0.000,  2.474
88, 1996,  0.200,  0.000, -0.000,  0.000, -193, -193, -0.000,  0.000,  2.474
89, 2006,  0.200,  0.000, -0.000,  0.000, -193, -193, -0.000,  0.000,  2.474
90, 2016,  0.200,  0.000, -0.000,  0.000, -193, -193, -0.000,  0.000,  2.474
91, 2026,  0.200,  0.000, -0.000,  0.000, -193, -193, -0.000,  0.000,  2.474
92, 2036,  0.200,  0.000, -0.000,  0.000, -193, -193, -0.000,  0.000,  2.474
93, 2046,  0.200,  0.000, -0.000,  0.000, -193, -193, -0.000,  0.000,  2.474
94, 2056,  0.200,  0.000, -0.000,  0.000, -193, -193, -0.000,  0.000,  2.474
95, 2066,  0.200,  0.000, -0.000,  0.000, -193, -193, -0.000,  0.000,  2.474
96, 2076,  0.200,  0.000, -0.000,  0.000, -193, -193, -0.000,  0.000,  2.474
97, 2086,  0.200,  0.000, -0.000,  0.000, -193, -193, -0.000,  0.000,  2.474
98, 2096,  0.200,  0.000, -0.000,  0.000, -193, -193, -0.000,  0.000,  2.474
99, 2106,  0.200,  0.000, -0.000,  0.000, -193, -193, -0.000,  0.000,  2.474
100, 2116,  0.400,  0.000, -0.000,  0.000, -193, -193, -0.000,  0.000,  2.474
101, 2126,  0.400,  0.000, -0.000,  0.000, -193, -193, -0.000,  0.000,  2.474
102, 2136,  0.400,  0.000, -0.000,  0.000, -193, -193, -0.000,  0.000,  2.474
103, 2146,  0.400,  0.000,  26.973,  0.000, -193, -193,  13.486, -0.345,  2.474
104, 2156,  0.400,  0.000,  39.374,  0.000, -192, -192,  19.687, -0.504,  2.461
105, 2166,  0.400,  0.000,  38.004,  0.000, -192, -192,  19.002, -0.487,  2.461
106, 2176,  0.400,  0.000,  60.918,  0.000, -191, -191,  30.459, -0.781,  2.448
107, 2186,  0.400,  0.000,  65.910,  0.000, -190, -190,  32.955, -0.845,  2.435
108, 2196,  0.400,  0.000,  63.184,  0.000, -189, -189,  31.592, -0.810,  2.423
109, 2206,  0.400,  0.000,  79.602,  0.000, -187, -187,  39.801, -1.020,  2.397
110, 2216,  0.400,  0.000,  115.929,  0.000, -185, -185,  57.964, -1.486,  2.371
111, 2226,  0.400,  0.000,  108.167,  0.000, -184, -184,  54.083, -1.386,  2.358
112, 2236,  0.400,  0.000,  122.559,  0.000, -182, -182,  61.279, -1.571,  2.333
113, 2246,  0.400,  0.000,  126.583,  0.000, -180, -180,  63.291, -1.622,  2.307
114, 2256,  0.400,  0.000,  155.086,  0.000, -177, -177,  77.543, -1.988,  2.269
115, 2266,  0.400,  0.000,  168.227,  0.000, -175, -175,  84.113, -2.156,  2.243
116, 2276,  0.400,  0.000,  172.810,  0.000, -173, -173,  86.405, -2.215,  2.217
117, 2286,  0.400,  0.000,  174.407,  0.000, -170, -170,  87.203, -2.235,  2.179
118, 2296,  0.400,  0.000,  166.752,  0.000, -168, -168,  83.376, -2.137,  2.153
119, 2306,  0.400,  0.000,  183.459,  0.000, -165, -165,  91.729, -2.352,  2.115
120, 2316,  0.400,  0.000,  189.284,  0.000, -162, -162,  94.642, -2.426,  2.076
121, 2326,  0.400,  0.000,  221.918,  0.000, -158, -158,  110.959, -2.845,  2.025
122, 2336,  0.400,  0.000,  213.621,  0.000, -155, -155,  106.810, -2.738,  1.987
123, 2346,  0.400,  0.000,  227.407,  0.000, -152, -152,  113.703, -2.915,  1.948
124, 2356,  0.400,  0.000,  235.211,  0.000, -149, -149,  117.605, -3.015,  1.910
125, 2366,  0.400,  0.000,  232.750,  0.000, -145, -145,  116.375, -2.983,  1.858
126, 2376,  0.400,  0.000,  226.969,  0.000, -142, -142,  113.484, -2.909,  1.820
127, 2386,  0.400,  0.000,  251.359,  0.000, -138, -138,  125.679, -3.222,  1.769
128, 2396,  0.400,  0.000,  264.330,  0.000, -134, -134,  132.165, -3.388,  1.717
129, 2406,  0.400,  0.000,  272.873,  0.000, -130, -130,  136.436, -3.498,  1.666
